PING 20.90.92.58 (20.90.92.58) 56(84) bytes of data.
64 bytes from 20.90.92.58: icmp_seq=193 ttl=51 time=66.6 ms
64 bytes from 20.90.92.58: icmp_seq=194 ttl=51 time=90.7 ms
64 bytes from 20.90.92.58: icmp_seq=195 ttl=51 time=115 ms
64 bytes from 20.90.92.58: icmp_seq=196 ttl=51 time=70.6 ms
64 bytes from 20.90.92.58: icmp_seq=197 ttl=51 time=80.8 ms
64 bytes from 20.90.92.58: icmp_seq=198 ttl=51 time=84.4 ms
64 bytes from 20.90.92.58: icmp_seq=199 ttl=51 time=109 ms
64 bytes from 20.90.92.58: icmp_seq=200 ttl=51 time=66.8 ms

--- 20.90.92.58 ping statistics ---
200 packets transmitted, 200 received, 0% packet loss, time 199210ms
rtt min/avg/max/mdev = 18.777/83.598/132.033/23.227 ms
